current_path	target_path	size_bytes	area	action
clang/include/clang/AST/Redeclarable.h	llvm-kain/clang/include/ast/Redeclarable.h	14857	clang	move
clang/include/clang/AST/SelectorLocationsKind.h	llvm-kain/clang/include/ast/SelectorLocationsKind.h	3359	clang	move
clang/include/clang/AST/Stmt.h	llvm-kain/clang/include/ast/Stmt.h	133902	clang	move
clang/include/clang/AST/StmtCXX.h	llvm-kain/clang/include/ast/StmtCXX.h	18439	clang	move
clang/include/clang/AST/StmtDataCollectors.td	llvm-kain/clang/include/ast/StmtDataCollectors.td	5776	clang	move
clang/include/clang/AST/StmtGraphTraits.h	llvm-kain/clang/include/ast/StmtGraphTraits.h	2233	clang	move
clang/include/clang/AST/StmtIterator.h	llvm-kain/clang/include/ast/StmtIterator.h	4298	clang	move
clang/include/clang/AST/StmtObjC.h	llvm-kain/clang/include/ast/StmtObjC.h	14131	clang	move
clang/include/clang/AST/StmtOpenACC.h	llvm-kain/clang/include/ast/StmtOpenACC.h	37973	clang	move
clang/include/clang/AST/StmtOpenMP.h	llvm-kain/clang/include/ast/StmtOpenMP.h	265389	clang	move
clang/include/clang/AST/StmtSYCL.h	llvm-kain/clang/include/ast/StmtSYCL.h	5826	clang	move
clang/include/clang/AST/StmtVisitor.h	llvm-kain/clang/include/ast/StmtVisitor.h	9020	clang	move
clang/include/clang/AST/SYCLKernelInfo.h	llvm-kain/clang/include/ast/SYCLKernelInfo.h	1427	clang	move
clang/include/clang/AST/TemplateArgumentVisitor.h	llvm-kain/clang/include/ast/TemplateArgumentVisitor.h	3613	clang	move
clang/include/clang/AST/TemplateBase.h	llvm-kain/clang/include/ast/TemplateBase.h	27834	clang	move
clang/include/clang/AST/TemplateName.h	llvm-kain/clang/include/ast/TemplateName.h	23476	clang	move
clang/include/clang/AST/TextNodeDumper.h	llvm-kain/clang/include/ast/TextNodeDumper.h	19661	clang	move
clang/include/clang/AST/Type.h	llvm-kain/clang/include/ast/Type.h	3110	clang	move
clang/include/clang/AST/TypeBase.h	llvm-kain/clang/include/ast/TypeBase.h	331270	clang	move
clang/include/clang/AST/TypeLoc.h	llvm-kain/clang/include/ast/TypeLoc.h	86699	clang	move
clang/include/clang/AST/TypeLocNodes.def	llvm-kain/clang/include/ast/TypeLocNodes.def	1481	clang	move
clang/include/clang/AST/TypeLocVisitor.h	llvm-kain/clang/include/ast/TypeLocVisitor.h	1800	clang	move
clang/include/clang/AST/TypeOrdering.h	llvm-kain/clang/include/ast/TypeOrdering.h	1883	clang	move
clang/include/clang/AST/TypeProperties.td	llvm-kain/clang/include/ast/TypeProperties.td	29478	clang	move
clang/include/clang/AST/TypeVisitor.h	llvm-kain/clang/include/ast/TypeVisitor.h	3403	clang	move
clang/include/clang/AST/UnresolvedSet.h	llvm-kain/clang/include/ast/UnresolvedSet.h	5449	clang	move
clang/include/clang/AST/VTableBuilder.h	llvm-kain/clang/include/ast/VTableBuilder.h	21108	clang	move
clang/include/clang/AST/VTTBuilder.h	llvm-kain/clang/include/ast/VTTBuilder.h	5310	clang	move
